2010-11-06 11:59:57,014 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:59:57,055 | DEBUG  | Stat yezooz. garage, cars_add=8.
2010-11-06 11:59:57,055 | DEBUG  | Stat yezooz. garage, cars_add=8.
2010-11-06 11:59:57,067 | DEBUG  | Stat yezooz. garage, cars=41.
2010-11-06 11:59:57,067 | DEBUG  | Stat yezooz. garage, cars=41.
2010-11-06 11:59:57,110 | DEBUG  | Stat yezooz. car_manuf, Abarth=2.
2010-11-06 11:59:57,110 | DEBUG  | Stat yezooz. car_manuf, Abarth=2.
2010-11-06 11:59:57,123 | DEBUG  | Stat yezooz. car_country, Italy=3.
2010-11-06 11:59:57,123 | DEBUG  | Stat yezooz. car_country, Italy=3.
2010-11-06 11:59:57,134 | DEBUG  | Stat yezooz. car_tier, 4=9.
2010-11-06 11:59:57,134 | DEBUG  | Stat yezooz. car_tier, 4=9.
2010-11-06 11:59:57,147 | DEBUG  | Stat yezooz. car_manuf, Abarth=3.
2010-11-06 11:59:57,147 | DEBUG  | Stat yezooz. car_manuf, Abarth=3.
2010-11-06 11:59:57,159 | DEBUG  | Stat yezooz. car_country, Italy=4.
2010-11-06 11:59:57,159 | DEBUG  | Stat yezooz. car_country, Italy=4.
2010-11-06 11:59:57,171 | DEBUG  | Stat yezooz. car_tier, 4=10.
2010-11-06 11:59:57,171 | DEBUG  | Stat yezooz. car_tier, 4=10.
2010-11-06 11:59:57,184 | DEBUG  | Stat yezooz. car_year, 2000=6.
2010-11-06 11:59:57,184 | DEBUG  | Stat yezooz. car_year, 2000=6.
2010-11-06 11:59:57,194 | DEBUG  | Stat yezooz. car_bhp, 158=1.
2010-11-06 11:59:57,194 | DEBUG  | Stat yezooz. car_bhp, 158=1.
2010-11-06 11:59:57,206 | DEBUG  | Stat yezooz. car_speed, 210=2.
2010-11-06 11:59:57,206 | DEBUG  | Stat yezooz. car_speed, 210=2.
2010-11-06 11:59:57,216 | DEBUG  | Stat yezooz. car_weight, 1100=1.
2010-11-06 11:59:57,216 | DEBUG  | Stat yezooz. car_weight, 1100=1.
2010-11-06 11:59:57,667 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:59:57,667 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:59:57,716 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:59:57,716 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:59:57,764 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:59:57,764 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:59:57,805 | DEBUG  | Stat yezooz. garage, cars_add=9.
2010-11-06 11:59:57,805 | DEBUG  | Stat yezooz. garage, cars_add=9.
2010-11-06 11:59:57,816 | DEBUG  | Stat yezooz. garage, cars=42.
2010-11-06 11:59:57,816 | DEBUG  | Stat yezooz. garage, cars=42.
2010-11-06 11:59:57,828 | DEBUG  | Stat yezooz. car_manuf, Opel=1.
2010-11-06 11:59:57,828 | DEBUG  | Stat yezooz. car_manuf, Opel=1.
2010-11-06 11:59:57,839 | DEBUG  | Stat yezooz. car_country, Germany=10.
2010-11-06 11:59:57,839 | DEBUG  | Stat yezooz. car_country, Germany=10.
2010-11-06 11:59:57,849 | DEBUG  | Stat yezooz. car_tier, 3=15.
2010-11-06 11:59:57,849 | DEBUG  | Stat yezooz. car_tier, 3=15.
2010-11-06 11:59:57,860 | DEBUG  | Stat yezooz. car_manuf, Opel=2.
2010-11-06 11:59:57,860 | DEBUG  | Stat yezooz. car_manuf, Opel=2.
2010-11-06 11:59:57,873 | DEBUG  | Stat yezooz. car_country, Germany=11.
2010-11-06 11:59:57,873 | DEBUG  | Stat yezooz. car_country, Germany=11.
2010-11-06 11:59:57,884 | DEBUG  | Stat yezooz. car_tier, 3=16.
2010-11-06 11:59:57,884 | DEBUG  | Stat yezooz. car_tier, 3=16.
2010-11-06 11:59:57,897 | DEBUG  | Stat yezooz. car_year, 2000=7.
2010-11-06 11:59:57,897 | DEBUG  | Stat yezooz. car_year, 2000=7.
2010-11-06 11:59:57,907 | DEBUG  | Stat yezooz. car_bhp, 158=2.
2010-11-06 11:59:57,907 | DEBUG  | Stat yezooz. car_bhp, 158=2.
2010-11-06 11:59:57,917 | DEBUG  | Stat yezooz. car_speed, 220=2.
2010-11-06 11:59:57,917 | DEBUG  | Stat yezooz. car_speed, 220=2.
2010-11-06 11:59:57,927 | DEBUG  | Stat yezooz. car_weight, 1600=1.
2010-11-06 11:59:57,927 | DEBUG  | Stat yezooz. car_weight, 1600=1.
2010-11-06 11:59:57,940 | DEBUG  | yezooz bought 3 cars
2010-11-06 11:59:57,940 | DEBUG  | yezooz bought 3 cars
2010-11-06 12:00:33,614 | INFO   | yezooz just spent 20 credit
2010-11-06 12:00:33,614 | INFO   | yezooz just spent 20 credit
2010-11-06 12:00:33,625 | DEBUG  | Stat yezooz. credit, spend=80.
2010-11-06 12:00:33,625 | DEBUG  | Stat yezooz. credit, spend=80.
2010-11-06 12:00:34,328 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 12:00:34,328 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 12:00:34,379 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 12:00:34,379 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 12:00:34,433 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 12:00:34,433 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 12:00:34,475 | DEBUG  | Stat yezooz. garage, cars_add=10.
2010-11-06 12:00:34,475 | DEBUG  | Stat yezooz. garage, cars_add=10.
2010-11-06 12:00:34,568 | DEBUG  | Stat yezooz. garage, cars=43.
2010-11-06 12:00:34,568 | DEBUG  | Stat yezooz. garage, cars=43.
2010-11-06 12:00:34,580 | DEBUG  | Stat yezooz. car_manuf, Peugeot=2.
2010-11-06 12:00:34,580 | DEBUG  | Stat yezooz. car_manuf, Peugeot=2.
2010-11-06 12:00:34,594 | DEBUG  | Stat yezooz. car_country, France=3.
2010-11-06 12:00:34,594 | DEBUG  | Stat yezooz. car_country, France=3.
2010-11-06 12:00:34,605 | DEBUG  | Stat yezooz. car_tier, 3=17.
2010-11-06 12:00:34,605 | DEBUG  | Stat yezooz. car_tier, 3=17.
2010-11-06 12:00:34,616 | DEBUG  | Stat yezooz. car_manuf, Peugeot=3.
2010-11-06 12:00:34,616 | DEBUG  | Stat yezooz. car_manuf, Peugeot=3.
2010-11-06 12:00:34,627 | DEBUG  | Stat yezooz. car_country, France=4.
2010-11-06 12:00:34,627 | DEBUG  | Stat yezooz. car_country, France=4.
2010-11-06 12:00:34,637 | DEBUG  | Stat yezooz. car_tier, 3=18.
2010-11-06 12:00:34,637 | DEBUG  | Stat yezooz. car_tier, 3=18.
2010-11-06 12:00:34,649 | DEBUG  | Stat yezooz. car_year, 2000=8.
2010-11-06 12:00:34,649 | DEBUG  | Stat yezooz. car_year, 2000=8.
2010-11-06 12:00:34,661 | DEBUG  | Stat yezooz. car_bhp, 173=1.
2010-11-06 12:00:34,661 | DEBUG  | Stat yezooz. car_bhp, 173=1.
2010-11-06 12:00:34,672 | DEBUG  | Stat yezooz. car_speed, 220=3.
2010-11-06 12:00:34,672 | DEBUG  | Stat yezooz. car_speed, 220=3.
2010-11-06 12:00:34,683 | DEBUG  | Stat yezooz. car_weight, 1200=2.
2010-11-06 12:00:34,683 | DEBUG  | Stat yezooz. car_weight, 1200=2.
2010-11-06 12:00:35,142 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 12:00:35,142 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 12:00:35,193 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 12:00:35,193 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 12:00:35,244 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 12:00:35,244 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 12:00:35,284 | DEBUG  | Stat yezooz. garage, cars_add=11.
2010-11-06 12:00:35,284 | DEBUG  | Stat yezooz. garage, cars_add=11.
2010-11-06 12:00:35,297 | DEBUG  | Stat yezooz. garage, cars=44.
2010-11-06 12:00:35,297 | DEBUG  | Stat yezooz. garage, cars=44.
2010-11-06 12:00:35,313 | DEBUG  | Stat yezooz. car_manuf, CitroÃ«n=3.
